"i";"j";"lon";"lat";"PL_1";"PL_2";"PL_3";"PL_4";"PL_5";"PL_6"
"2.0";"41.0";"-34.8870224676297";"-8.076872249064992";127.63197675649133;121.40188952567132;142.4372689155229;121.4018911476355;129.43298233213184;134.78072515802086
"2.0";"42.0";"-34.886568800163765";"-8.076872249064992";128.14594961211958;122.59408487999538;142.8830247630671;122.59408641314013;129.62922969991936;135.12370680886607
"2.0";"43.0";"-34.88611513269783";"-8.076872249064992";128.672327208285;123.7226532170563;143.3194534639705;123.72265467047929;129.85448669078949;135.47478228592382
"2.0";"44.0";"-34.8856614652319";"-8.076872249064992";129.20812279300702;124.7939604280052;143.74693715151133;124.7939618094918;130.10683294501592;135.83279549306584
"2.0";"45.0";"-34.885207797765965";"-8.076872249064992";129.75068069849314;125.81347370784681;144.16583495771135;125.81347502410779;130.38423068164732;136.1966663414864
"3.0";"1.0";"-34.90516916651938";"-8.076423081774987";135.26318469151258;128.14323276689888;100.68374035182184;128.1432315850219;140.28290369877166;136.74639586517839
"3.0";"2.0";"-34.90471549955813";"-8.076423081774987";134.7272487890773;127.22992585571632;103.78107052710814;127.22992462104085;139.8653519792166;136.35504228317612
"3.0";"3.0";"-34.90426183259688";"-8.076423081774987";134.18378697542292;126.2748769768734;106.4773000363381;126.27487568447542;139.44336680126221;135.96656337431827
"3.0";"4.0";"-34.90380816563563";"-8.076423081774987";133.63312386126978;125.27409895508634;108.86447953838675;125.2740975993216;139.01711094267463;135.5818697568988
"3.0";"5.0";"-34.90335449867438";"-8.076423081774987";133.07568768993738;124.22300655581323;111.00621468027519;124.22300513017012;138.5867852913678;135.20195825790918
"3.0";"6.0";"-34.90290083171313";"-8.076423081774987";132.5120286476229;123.11629102854319;112.94829734769077;123.11628952545614;138.15263395092995;134.8279142007621
"3.0";"7.0";"-34.902447164751884";"-8.076423081774987";131.9428397054009;121.9477600746592;114.72479251715028;121.94775848526936;137.71494988747304;134.46091240488667
"3.0";"8.0";"-34.901993497790635";"-8.076423081774987";131.36898012642547;120.7101311963049;116.36172898418931;120.71012951014914;137.2740811425475;134.10221655338876
"3.0";"9.0";"-34.901539830829385";"-8.076423081774987";130.79150167703565;119.39476121661842;117.87944360153526;119.39475942121942;136.83043762655095;133.7531765591107
"3.0";"10.0";"-34.901086163868136";"-8.076423081774987";130.21167743143013;117.99128691678459;119.29412858738336;117.99128499710216;136.38449849201692;133.41522354767375
"3.0";"11.0";"-34.90063249690689";"-8.076423081774987";129.63103283894796;116.48713955541888;120.61888638675774;116.48713749310224;135.93682006516474;133.08986208464322
"3.0";"12.0";"-34.90017882994564";"-8.076423081774987";129.05137841153658;114.86687665726316;121.86446894275772;114.86687442961221;135.48804428573962;132.77865930946732
"3.0";"13.0";"-34.89972516298439";"-8.076423081774987";124.41467506195394;111.63148775154215;125.79316547476091;132.0037098584543;137.55026543974418;140.8158681289389
"3.0";"14.0";"-34.89927149602314";"-8.076423081774987";127.9039058233322;111.19581764221398;124.15240547537798;111.19581499034274;134.59024994781163;132.20522236061373
"3.0";"15.0";"-34.89881782906189";"-8.076423081774987";127.34142564552548;109.08901709211747;125.20862067207526;109.08901416218643;134.14302432255437;131.94628965968337
"3.0";"16.0";"-34.89836416210064";"-8.076423081774987";126.79066289955944;106.74904509104894;126.21389351478813;106.74904181916938;133.69830551625284;131.70807266352548
"3.0";"17.0";"-34.89791049513939";"-8.076423081774987";126.25529197278135;104.11908114145126;127.17291254354762;104.11907743952682;133.25729881994957;131.49216849708264
"3.0";"18.0";"-34.89745682817814";"-8.076423081774987";125.73939825160713;101.11937874542797;128.08974742440017;101.11937448773827;132.82134755794527;131.30010143902018
"3.0";"19.0";"-34.897003161216894";"-8.076423081774987";125.24745482156514;97.63373849696887;128.96795329037857;97.63373349676652;132.39193912509617;131.1332915913844
"3.0";"20.0";"-34.896549494255645";"-8.076423081774987";116.65552132349714;99.04909407723395;129.46079746267066;110.8824262040558;127.99280843255693;136.55727131735176
"3.0";"21.0";"-34.896095827294396";"-8.076423081774987";119.21409963026865;101.40645944922832;130.0769465037016;119.19742069805488;129.20369643980945;137.5661697808045
"3.0";"22.0";"-34.895642160333146";"-8.076423081774987";116.79037109120338;96.32120702974318;131.2960076302336;113.95513818719768;128.35670487668474;138.5081071954555
"3.0";"23.0";"-34.8951884933719";"-8.076423081774987";118.17835989026668;100.00870389290137;128.4172389353306;108.09018402577516;129.77162769233826;135.79018316649683
"3.0";"24.0";"-34.89473482641065";"-8.076423081774987";123.32180272411901;65.60346516208249;132.87721149350722;65.60345957436004;130.40538668582667;130.71666179910054
"3.0";"25.0";"-34.8942811594494";"-8.076423081774987";123.0789442469839;68.63733845946955;133.57821100265414;68.63734959859025;130.05457500326366;130.72164245909178
"3.0";"26.0";"-34.89382749248815";"-8.076423081774987";122.89402513377088;77.60303116913916;134.25640312901976;77.60304236183403;129.72458979807212;130.75654760997153
"3.0";"27.0";"-34.8933738255269";"-8.076423081774987";122.7702628512131;85.06976035153002;134.91322529992118;85.0697689850156;129.41784992348613;130.82107815649857
"3.0";"28.0";"-34.89292015856565";"-8.076423081774987";122.70988609945812;90.84961903825553;135.549983196139;90.84962581498594;129.13677534114606;130.91468724929783
"3.0";"29.0";"-34.8924664916044";"-8.076423081774987";122.71400460819737;95.46821040704924;136.16786637569572;95.46821592525323;128.88373806483781;131.03659550881105
"3.0";"30.0";"-34.89201282464315";"-8.076423081774987";122.78254220490032;99.28803336213068;136.7679616481781;99.2880379963358;128.6610074096926;131.1858121257813
"3.0";"31.0";"-34.891559157681904";"-8.076423081774987";122.91424145362203;102.53523126194773;137.3512645773871;102.53523524821321;128.47069146447566;131.36116067167706
"3.0";"32.0";"-34.891105490720655";"-8.076423081774987";123.1067392817923;105.35504410840728;137.9186894180898;105.35504760190939;128.31467735844436;131.56130826780344
"3.0";"33.0";"-34.890651823759406";"-8.076423081774987";123.3567042538345;107.84490372695356;138.47107773591011;107.84490683415207;128.19457342226508;131.7847966925146
"3.0";"34.0";"-34.89019815679816";"-8.076423081774987";123.66001931609185;110.07287530220786;139.0092059143793;110.07287809892964;128.1116566471572;132.03007404592796
"3.0";"35.0";"-34.88974448983691";"-8.076423081774987";124.0119901427704;112.08819646793194;139.53379171721625;112.08819900993265;128.06682884526649;132.29552572331988
"3.0";"36.0";"-34.88929082287566";"-8.076423081774987";124.40755898272198;113.92755226711743;140.04550004502084;113.92755459651417;128.06058455996424;132.5795036469852
"3.0";"37.0";"-34.88883715591441";"-8.076423081774987";124.84150661378075;115.61896744352319;140.54494800221312;115.61896959286793;128.09299307151934;132.88035294392077
"3.0";"38.0";"-34.88838348895316";"-8.076423081774987";125.30862958101726;117.18431237925103;141.0327093710747;117.18431437420196;128.1636958538586;133.1964355065778
"3.0";"39.0";"-34.88792982199191";"-8.076423081774987";125.80388511442183;118.64097049431075;141.50931857424368;118.64097235543832;128.27191967632623;133.5261501136684
"3.0";"40.0";"-34.88747615503066";"-8.076423081774987";126.32250097505907;120.00298026939657;141.9752741942818;120.00298201343793;128.41650435756563;133.86794900106543
"3.0";"41.0";"-34.88702248806941";"-8.076423081774987";126.86005132693887;121.28183757829584;142.43104210842966;121.28183921904704;128.59594311880332;134.2203509490229
"3.0";"42.0";"-34.88656882110816";"-8.076423081774987";127.41250232673079;122.4870721576651;142.8770582879587;122.48707370662929;128.80843267851427;134.58195108693482
"3.0";"43.0";"-34.886115154146914";"-8.076423081774987";127.97623251975989;123.62667011444549;143.31373130428278;123.62667158131238;129.05192976027232;134.95142771104247
"3.0";"44.0";"-34.885661487185665";"-8.076423081774987";128.5480335594279;124.70738912574416;143.74144457793545;124.70739051875094;129.3242105733964;135.32754646763217
"3.0";"45.0";"-34.885207820224416";"-8.076423081774987";129.12509652139946;125.73499734535555;144.16055840143622;125.73499867156252;129.6229300396853;135.70916228008525
"4.0";"1.0";"-34.90516916677171";"-8.075973914484981";134.91919307744158;128.11912378624808;100.87570536057052;128.11912260163288;140.00726608395811;136.30208830151628
"4.0";"2.0";"-34.90471550031511";"-8.075973914484981";134.36478790226684;127.20360620568306;103.9240221732183;127.20360496788444;139.57829150491318;135.89335318834895
"4.0";"3.0";"-34.90426183385852";"-8.075973914484981";133.80156586807965;126.2460281590085;106.5878402253924;126.24602686302688;139.14427421340872;135.48693236695942
"4.0";"4.0";"-34.90380816740193";"-8.075973914484981";133.22976022018327;125.24233825610568;108.95248721581824;125.24233689620165;138.70534467760012;135.0837680774068
"4.0";"5.0";"-34.90335450094533";"-8.075973914484981";132.64970548020267;124.18787001995412;111.07793068735205;124.18786858949504;138.2616709636442;134.6849000350259
"4.0";"6.0";"-34.90290083448874";"-8.075973914484981";132.0618573482388;123.07721071372924;113.00785572655737;123.07720920499375;137.8134641935038;134.29146920183186
"4.0";"7.0";"-34.90244716803215";"-8.075973914484981";131.46681577786552;121.90403322354464;114.77503931512189;121.90403162747054;137.3609846477787;133.90472024886014
"4.0";"8.0";"-34.901993501575554";"-8.075973914484981";130.8653515252427;120.660877762087;116.4046871098827;120.66087606794181;136.9045485586879;133.52600229371802
"4.0";"9.0";"-34.90153983511896";"-8.075973914484981";130.2584364047341;119.33886427425679;117.91659008381873;119.33886246920042;136.44453563050388;133.15676745287493
"4.0";"10.0";"-34.90108616866237";"-8.075973914484981";129.6472773552473;117.92730734825318;119.3265669269382;117.9273054167474;135.9813973119385;132.79856671772842
"4.0";"11.0";"-34.900632502205774";"-8.075973914484981";129.03335420991482;116.41319107177868;120.64745753103686;116.41318899477437;135.51566582565417;132.45304265550467
"4.0";"12.0";"-34.90017883574918";"-8.075973914484981";128.41846073723585;114.78043788686665;121.88982493975863;114.78043564066007;135.047963932397;132.1219184599841
"4.0";"13.0";"-34.89972516929259";"-8.075973914484981";124.130737402545;113.67260997496605;122.03445645792945;131.12094318602848;137.59861743512258;139.573349147132
"4.0";"14.0";"-34.899271502835994";"-8.075973914484981";127.19476883441374;111.07266257966056;124.17276748862074;111.07265989626305;134.10965584955596;131.5100711709279
"4.0";"15.0";"-34.8988178363794";"-8.075973914484981";126.59151996870037;108.93807021396944;125.22702135476814;108.93806724128991;133.64084444973707;131.233040633477
"4.0";"16.0";"-34.89836416992281";"-8.075973914484981";125.99848007923804;106.55975355496696;126.23060298918203;106.55975022311385;133.17367511753736;130.9777430434207
"4.0";"17.0";"-34.897910503466214";"-8.075973914484981";125.41963726684044;103.87481305860302;127.18815352401265;103.8748092688844;132.70938794324178;130.74599217585512
"4.0";"18.0";"-34.89745683700962";"-8.075973914484981";124.85950095093125;100.79235168829051;128.1037051770974;100.79234729487814;132.24937970654685;130.53952845942646
"4.0";"19.0";"-34.89700317055303";"-8.075973914484981";124.32309052949697;97.17392518918338;128.98078318413613;97.17391996343311;131.79521307621647;130.35998138171954
"4.0";"20.0";"-34.896549504096434";"-8.075973914484981";123.81589275819334;92.7932606992401;129.82248728154926;92.7932542524101;131.34862368619275;130.2088310907373
"4.0";"21.0";"-34.89609583763984";"-8.075973914484981";118.83900870304167;108.01191867230918;130.60217108728526;122.29781546117376;128.83780955039217;135.071849039068
"4.0";"22.0";"-34.89564217118325";"-8.075973914484981";122.9128813703754;79.65714195471868;131.4104275461099;79.65712986192288;130.48600396888008;129.99667210407074
"4.0";"23.0";"-34.895188504726654";"-8.075973914484981";117.24101236080854;100.72496306708099;128.8032670669549;99.71801504811727;128.56655400488515;136.72014792121726
"4.0";"24.0";"-34.89473483827006";"-8.075973914484981";116.51661431505498;98.67506250323781;127.56160857690294;99.85990344534211;127.44959738892089;137.03732365002242
"4.0";"25.0";"-34.89428117181347";"-8.075973914484981";113.87238255139214;108.92168613802642;124.5292877813971;103.75988364740813;125.66185879200778;137.86299502701598
"4.0";"26.0";"-34.893827505356874";"-8.075973914484981";115.4731714725124;114.86722897532367;126.48805102315522;104.78852703552761;125.85839228864295;134.9405901516347
"4.0";"27.0";"-34.89337383890028";"-8.075973914484981";121.58328315237114;83.44785051497735;134.92047598879157;83.44786060196532;128.61632283751698;130.02332442536095
"4.0";"28.0";"-34.89292017244369";"-8.075973914484981";121.51559802278385;89.94909743535577;135.55680376479418;89.94910482355927;128.31244929346929;130.1243424940392
"4.0";"29.0";"-34.892466505987095";"-8.075973914484981";121.52021416529757;94.89902649117963;136.1742939370973;94.89903231906916;128.03831013124446;130.2557928356602
"4.0";"30.0";"-34.8920128395305";"-8.075973914484981";121.5970359127178;98.8967991431673;136.77402916543102;98.89680395460282;127.7965394545345;130.4165266995152
"4.0";"31.0";"-34.89155917307391";"-8.075973914484981";121.74448548120401;102.2501554718587;137.35700142791853;102.25015956863895;127.58960028618708;130.60518472713719
"4.0";"32.0";"-34.891105506617315";"-8.075973914484981";121.95960899015132;105.13823603130598;137.9241218682359;105.1382395982245;127.41971024298465;130.82023293422304
"4.0";"33.0";"-34.89065184016072";"-8.075973914484981";122.23826739036367;107.67453438085043;138.47622934207857;107.67453753924515;127.28876860800602;131.06000074059946
"4.0";"34.0";"-34.89019817370413";"-8.075973914484981";122.57538736818533;109.93550306988179;139.01409786370635;109.9355059036996;127.19828936074211;131.32271927311095
"4.0";"35.0";"-34.889744507247535";"-8.075973914484981";122.96524229235644;111.97510009664754;139.538443118102;111.9751026663743;127.14934481996323;131.60655837239625
