"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.072409;-34.892239;108.09;117.54;119.04;99.94;104.24000000000001;122.54;"(12,29)";"(57,145)";"(116,288)";-8.072358117800375;-34.89235320613835;0.013791548791969675;116;288
-8.076147;-34.895092;120.8566666666667;111.69;126.1233333333333;111.19;129.5566666666667;137.75666666666672;"(6,14)";"(28,70)";"(56,140)";-8.07505312154044;-34.89906736736072;0.45437343206230535;56;140
-8.07338;-34.896893;114.6233333333333;112.7233333333333;96.29;114.7566666666667;126.2233333333333;139.1566666666667;"(8,14)";"(40,69)";"(79,135)";-8.074020036773415;-34.899294215680925;0.2738461895132777;79;135
-8.075682;-34.899948;127.15666666666671;109.79;124.39;129.39;133.5233333333333;139.09;"(2,14)";"(12,63)";"(21,127)";-8.076625207055478;-34.89965711006716;0.10969119122973287;21;127
-8.068039;-34.890514;125.2566666666667;130.6566666666667;128.35666666666668;121.29;112.35666666666671;123.0566666666667;"(19,38)";"(94,190)";"(186,382)";-8.069213946770299;-34.88808891430031;0.2973236398528928;186;382
-8.073213;-34.89653;99.39;108.5566666666667;116.0566666666667;100.9233333333333;117.1566666666667;118.19;"(13,24)";"(60,118)";"(119,235)";-8.072223367613372;-34.8947576203819;0.2240804523391953;119;235
-8.062613;-34.887489;129.54000000000002;138.59;142.54000000000002;141.09;141.015;146.44;"(33,41)";"(169,195)";"(338,389)";-8.062386603962134;-34.88777165070813;0.04003762839301033;338;389
-8.073539;-34.893955;85.69;114.74000000000001;110.89;91.39;107.24000000000001;111.04;"(9,26)";"(46,126)";"(92,252)";-8.073436119296401;-34.89398636031387;0.011952827136634687;92;252
-8.069187;-34.895657;106.9233333333333;123.9566666666667;126.82333333333331;111.49000000000001;113.7566666666667;108.5566666666667;"(22,30)";"(107,145)";"(215,289)";-8.067911361629267;-34.89230798392592;0.39516208972460337;215;289
-8.070502;-34.896996;92.3233333333333;119.2233333333333;122.6233333333333;108.7566666666667;120.89;118.52333333333331;"(18,21)";"(85,104)";"(169,207)";-8.069977531163318;-34.89602792673663;0.12152531688934257;169;207
-8.067512;-34.89341;115.9233333333333;117.1233333333333;120.7566666666667;113.85666666666671;118.52333333333331;109.2566666666667;"(19,15)";"(91,74)";"(181,147)";-8.069438530415304;-34.8987498939345;0.6258817409097619;181;147
-8.072929;-34.896366;96.79;104.1233333333333;118.09;96.79;118.7233333333333;122.3566666666667;"(11,25)";"(58,119)";"(115,238)";-8.072403034529376;-34.89462151691782;0.20081969998363483;115;238
-8.064089;-34.885693;113.8233333333333;137.49;139.59;121.5233333333333;139.5233333333333;142.6566666666667;"(30,44)";"(152,215)";"(304,429)";-8.06391377274817;-34.885956972489396;0.03499917730541288;304;429
-8.062386;-34.888229;127.09;124.39;139.69;127.1233333333333;134.82333333333332;137.99;"(1,44)";"(1,217)";"(1,434)";-8.0775235416355;-34.88572948362693;1.7060454176608535;1;434
-8.06638;-34.89687;124.49000000000001;104.79;116.2233333333333;98.85666666666671;114.7233333333333;96.1233333333333;"(28,19)";"(140,93)";"(280,185)";-8.064991774244197;-34.897026081361574;0.15536104735619477;280;185
-8.068892;-34.896561;101.74000000000001;104.79;104.89;90.74000000000001;114.89;100.54;"(19,20)";"(103,97)";"(202,194)";-8.068495279106282;-34.89661771657153;0.04456567140994019;202;194
-8.063383;-34.886536;122.6233333333333;140.72333333333341;141.9566666666666;138.89;139.82333333333332;144.29000000000002;"(32,42)";"(157,210)";"(311,423)";-8.063599355645163;-34.88622917914198;0.041482586649409785;311;423
-8.073764;-34.898312;120.2158064516129;98.9018279569892;98.0717204301075;103.3921505376344;135.284623655914;133.38139784946242;"(9,16)";"(43,79)";"(84,155)";-8.07379545312841;-34.89838689105479;0.008958613560791903;84;155
-8.073786;-34.898453;115.19;96.94;95.14;113.04;132.84;126.54;"(9,15)";"(42,78)";"(84,155)";-8.07379545312841;-34.89838689105479;0.007355707636797319;84;155
-8.069963;-34.897484;107.9566666666667;123.0566666666667;118.79;113.85666666666671;124.99000000000001;106.1566666666667;"(20,19)";"(100,97)";"(200,197)";-8.068585112564284;-34.896481617172796;0.18887357268191035;200;197
-8.071704;-34.900768;126.49000000000001;112.64;117.59;126.19;136.74;125.04;"(10,9)";"(55,53)";"(109,105)";-8.072672534903383;-34.900655224280726;0.10844011922521628;109;105
-8.075237;-34.900108;120.99000000000001;121.14;119.99000000000001;132.64;136.19;138.89;"(6,12)";"(26,59)";"(55,116)";-8.075098038269442;-34.90015616379125;0.01634093994167594;55;116
-8.06978;-34.890465;119.69;137.1233333333333;129.89;116.6233333333333;110.7566666666667;124.32333333333331;"(18,34)";"(86,166)";"(172,331)";-8.069842780976314;-34.89040255118101;0.009800835751295735;172;331
-8.069653;-34.898186;103.52333333333331;113.1566666666667;114.9566666666667;114.2233333333333;117.3233333333333;103.85666666666671;"(17,18)";"(84,89)";"(167,177)";-8.07006736462132;-34.897388904123645;0.099143733712957;167;177
-8.068482;-34.896732;105.04;122.94;118.39;113.84;113.79;119.54;"(18,23)";"(93,107)";"(187,216)";-8.069169030041298;-34.89561965254645;0.14437804621311126;187;216
-8.072927;-34.895584;99.99000000000001;124.29;90.34;109.84;122.54;124.24000000000001;"(11,23)";"(52,109)";"(104,218)";-8.072897118548388;-34.89552882973915;0.006925241358795478;104;218
-8.063996;-34.885818;123.5566666666667;131.9233333333333;135.19;129.39;138.22333333333341;137.7233333333333;"(31,43)";"(152,215)";"(304,429)";-8.06391377274817;-34.885956972489396;0.017829074508876483;304;429
-8.069714;-34.894638;102.4566666666667;126.99000000000001;122.19;117.52333333333331;116.2233333333333;107.19;"(18,24)";"(89,116)";"(177,233)";-8.069618197331309;-34.89484842083739;0.02550519019514816;177;233
